Step,TrueNoise,ResidualNoise
209,0.85141329,-0.00057756
210,0.85308861,-0.00057396
211,0.85413121,-0.00057214
212,0.85453351,-0.00057261
213,0.85430546,-0.00056813
214,0.85344641,-0.00056660
215,0.85195565,-0.00056514
216,0.84983644,-0.00056913
217,0.84709720,-0.00057233
218,0.84374258,-0.00057021
219,0.83977866,-0.00056007
220,0.83520601,-0.00055007
221,0.83002677,-0.00054629
222,0.82425326,-0.00054488
223,0.81788535,-0.00054874
224,0.81094112,-0.00054131
225,0.80341499,-0.00053905
226,0.79532810,-0.00052455
227,0.78667674,-0.00051892
228,0.77746916,-0.00051320
229,0.76772097,-0.00051091
230,0.75743777,-0.00050698
231,0.74663017,-0.00049761
232,0.73531160,-0.00048472
233,0.72349168,-0.00046772
234,0.71117824,-0.00044950
235,0.69837633,-0.00044102
236,0.68510175,-0.00043765
237,0.67136234,-0.00044121
238,0.65717485,-0.00043870
239,0.64255497,-0.00042838
240,0.62750872,-0.00041432
241,0.61204804,-0.00040098
242,0.59618409,-0.00039585
243,0.57993244,-0.00039269
244,0.56330994,-0.00038470
245,0.54632283,-0.00037703
246,0.52899613,-0.00035971
247,0.51133219,-0.00034923
248,0.49334901,-0.00033618
249,0.47506324,-0.00032722
250,0.45648973,-0.00031377
251,0.43764209,-0.00029788
252,0.41853584,-0.00028139
253,0.39919187,-0.00025940
254,0.37961096,-0.00024626
255,0.35982084,-0.00022960
256,0.33982880,-0.00022372
257,0.31964675,-0.00021848
258,0.29929447,-0.00021916
259,0.27879446,-0.00021238
260,0.25815035,-0.00020387
261,0.23738642,-0.00018758
262,0.21652131,-0.00017201
263,0.19556529,-0.00015063
264,0.17454161,-0.00012323
265,0.15344999,-0.00011183
266,0.13232209,-0.00009452
267,0.11116296,-0.00008988
268,0.08998605,-0.00008315
269,0.06881940,-0.00007524
270,0.04766594,-0.00006995
271,0.02654368,-0.00005982
272,0.00547593,-0.00005041
273,-0.01552907,-0.00003868
274,-0.03645945,-0.00002613
275,-0.05729322,-0.00001721
276,-0.07802323,-0.00001325
277,-0.09863236,-0.00000680
278,-0.11909650,0.00000420
279,-0.13941469,0.00001303
280,-0.15955558,0.00003772
281,-0.17951900,0.00005023
282,-0.19928654,0.00006885
283,-0.21884336,0.00007752
284,-0.23816991,0.00009532
285,-0.25726052,0.00011204
286,-0.27610170,0.00012748
287,-0.29468153,0.00013248
288,-0.31297663,0.00014449
289,-0.33098867,0.00015304
290,-0.34870086,0.00016334
291,-0.36610484,0.00016022
292,-0.38318031,0.00016412
293,-0.39992798,0.00016341
294,-0.41632267,0.00017506
295,-0.43236819,0.00017518
296,-0.44804393,0.00018454
297,-0.46333881,0.00019149
298,-0.47824148,0.00020885
299,-0.49274773,0.00022517
300,-0.50684279,0.00024236
301,-0.52052403,0.00025027
302,-0.53378484,0.00025307
303,-0.54661043,0.00025311
304,-0.55900196,0.00024756
305,-0.57094412,0.00024808
306,-0.58242894,0.00024992
307,-0.59344645,0.00026410
308,-0.60400160,0.00027289
309,-0.61408078,0.00028037
310,-0.62367986,0.00028049
311,-0.63279294,0.00028461
312,-0.64142141,0.00028247
313,-0.64954896,0.00028594
314,-0.65718035,0.00028499
315,-0.66431526,0.00028380
316,-0.67094446,0.00027738
317,-0.67706788,0.00026868
318,-0.68268134,0.00026470
319,-0.68778504,0.00025934
320,-0.69237970,0.00025111
