Step,TrueNoise,ResidualNoise
205,0.83805556,-0.00000366
206,0.84229424,0.00000168
207,0.84588931,0.00000247
208,0.84884517,0.00000314
209,0.85115985,-0.00000454
210,0.85284061,-0.00000702
211,0.85388368,-0.00000885
212,0.85429820,-0.00000087
213,0.85407224,-0.00000135
214,0.85321954,0.00000182
215,0.85173872,-0.00000076
216,0.84963053,-0.00000361
217,0.84689686,-0.00001259
218,0.84354414,-0.00002467
219,0.83957905,-0.00003534
220,0.83500491,-0.00004317
221,0.82982542,-0.00005019
222,0.82404581,-0.00005916
223,0.81767753,-0.00006499
224,0.81073106,-0.00006215
225,0.80321000,-0.00005348
226,0.79511985,-0.00004436
227,0.78647337,-0.00003519
228,0.77727506,-0.00002991
229,0.76752885,-0.00003097
230,0.75725051,-0.00003472
231,0.74645449,-0.00003403
232,0.73513743,-0.00003675
233,0.72331808,-0.00003690
234,0.71100419,-0.00004293
235,0.69821404,-0.00003931
236,0.68494891,-0.00003869
237,0.67121958,-0.00004137
238,0.65703434,-0.00005634
239,0.64241533,-0.00006841
240,0.62737348,-0.00007558
241,0.61191962,-0.00007483
242,0.59606990,-0.00006898
243,0.57982815,-0.00006966
244,0.56321716,-0.00006747
245,0.54624256,-0.00007353
246,0.52892242,-0.00007671
247,0.51126772,-0.00008429
248,0.49329956,-0.00008539
249,0.47502729,-0.00008559
250,0.45647282,-0.00007617
251,0.43763696,-0.00007661
252,0.41854659,-0.00007288
253,0.39921089,-0.00007660
254,0.37963759,-0.00008566
255,0.35985463,-0.00009274
256,0.33987327,-0.00009945
257,0.31970761,-0.00009940
258,0.29937232,-0.00010040
259,0.27888435,-0.00010247
260,0.25825789,-0.00010625
261,0.23750424,-0.00011420
262,0.21664660,-0.00011991
263,0.19569363,-0.00012917
264,0.17466279,-0.00013588
265,0.15357237,-0.00014238
266,0.13244665,-0.00013636
267,0.11128843,-0.00013031
268,0.09011374,-0.00012660
269,0.06894408,-0.00012911
270,0.04779124,-0.00013413
271,0.02667534,-0.00013236
272,0.00561232,-0.00012723
273,-0.01538581,-0.00012007
274,-0.03630052,-0.00011203
275,-0.05712529,-0.00011392
276,-0.07783710,-0.00011537
277,-0.09841963,-0.00011691
278,-0.11886311,-0.00011591
279,-0.13915370,-0.00011655
280,-0.15928337,-0.00012908
281,-0.17922951,-0.00014203
282,-0.19898113,-0.00015602
283,-0.21852415,-0.00016351
284,-0.23784035,-0.00016454
285,-0.25691492,-0.00015762
286,-0.27573574,-0.00014465
287,-0.29430203,-0.00014312
288,-0.31258906,-0.00014395
289,-0.33058728,-0.00015110
290,-0.34828405,-0.00015198
291,-0.36566563,-0.00015041
292,-0.38272570,-0.00015148
293,-0.39944299,-0.00014617
294,-0.41581640,-0.00014668
295,-0.43184139,-0.00015473
296,-0.44749554,-0.00016576
297,-0.46276839,-0.00017360
298,-0.47765480,-0.00017398
299,-0.49214715,-0.00017577
300,-0.50623402,-0.00018092
301,-0.51990002,-0.00018059
302,-0.53314179,-0.00017724
303,-0.54595489,-0.00017472
304,-0.55833056,-0.00017879
305,-0.57026071,-0.00018727
306,-0.58174321,-0.00020117
307,-0.59276205,-0.00020945
308,-0.60331818,-0.00021922
309,-0.61340079,-0.00022172
310,-0.62300687,-0.00022548
311,-0.63212776,-0.00022443
312,-0.64075663,-0.00021876
313,-0.64889295,-0.00021216
314,-0.65652512,-0.00019981
315,-0.66366185,-0.00019720
316,-0.67029225,-0.00019474
317,-0.67641889,-0.00020286
318,-0.68203628,-0.00021089
319,-0.68713856,-0.00021617
320,-0.69173125,-0.00022278
321,-0.69580035,-0.00021896
322,-0.69936014,-0.00022309
323,-0.70239937,-0.00022074
324,-0.70491960,-0.00022179
325,-0.70691817,-0.00021537
326,-0.70840280,-0.00021316
327,-0.70936525,-0.00020668
328,-0.70982070,-0.00021248
329,-0.70975625,-0.00021175
330,-0.70918234,-0.00021725
331,-0.70810128,-0.00022047
332,-0.70651063,-0.00022281
333,-0.70441050,-0.00021840
334,-0.70181623,-0.00021746
335,-0.69872193,-0.00021379
336,-0.69514194,-0.00022235
337,-0.69106950,-0.00022402
338,-0.68651772,-0.00023071
339,-0.68148703,-0.00023149
340,-0.67597774,-0.00022700
341,-0.67000668,-0.00022484
342,-0.66357596,-0.00022294
343,-0.65669068,-0.00022556
344,-0.64936176,-0.00023089
345,-0.64159135,-0.00023317
346,-0.63338988,-0.00023671
347,-0.62476642,-0.00024040
348,-0.61572674,-0.00024425
349,-0.60628015,-0.00024853
350,-0.59643209,-0.00024832
351,-0.58618543,-0.00023890
352,-0.57556002,-0.00023076
353,-0.56455723,-0.00021903
354,-0.55319244,-0.00021547
355,-0.54147373,-0.00021304
356,-0.52941124,-0.00021498
357,-0.51701759,-0.00022017
358,-0.50430122,-0.00022559
359,-0.49127801,-0.00023643
360,-0.47794898,-0.00024048
361,-0.46433090,-0.00024414
362,-0.45042917,-0.00023780
363,-0.43626219,-0.00023454
364,-0.42183057,-0.00022263
365,-0.40715571,-0.00021624
366,-0.39224240,-0.00020435
367,-0.37710450,-0.00019652
368,-0.36176083,-0.00019447
369,-0.34621849,-0.00019652
370,-0.33049748,-0.00020995
371,-0.31459427,-0.00021232
372,-0.29853114,-0.00021423
373,-0.28232300,-0.00021234
374,-0.26597390,-0.00020915
375,-0.24950829,-0.00021414
376,-0.23292882,-0.00021348
377,-0.21624768,-0.00021255
378,-0.19948809,-0.00021337
379,-0.18265104,-0.00021001
380,-0.16575711,-0.00021367
381,-0.14881501,-0.00021163
382,-0.13183362,-0.00020705
383,-0.11482627,-0.00019644
384,-0.09780127,-0.00017773
385,-0.08077651,-0.00016037
386,-0.06377129,-0.00015342
387,-0.04679479,-0.00015812
388,-0.02986531,-0.00017672
389,-0.01298642,-0.00019129
