Step,TrueNoise,ResidualNoise,ReductionRatio
184,0.024882,0.087048,-249.84
185,0.033677,0.111891,-232.25
186,0.042209,0.136494,-223.38
187,0.050728,0.160690,-216.77
188,0.059259,0.184424,-211.22
189,0.067708,0.207167,-205.97
190,0.076232,0.228938,-200.32
191,0.084762,0.249315,-194.13
192,0.093354,0.268166,-187.26
193,0.102040,0.285384,-179.68
194,0.110870,0.300537,-171.07
195,0.119772,0.313388,-161.65
196,0.128870,0.324040,-151.45
197,0.137986,0.331908,-140.54
198,0.147215,0.337208,-129.06
199,0.156682,0.339731,-116.83
200,0.166353,0.339359,-104.00
201,0.176062,0.336010,-90.85
202,0.185874,0.329660,-77.36
203,0.195844,0.320467,-63.63
204,0.205802,0.308223,-49.77
205,0.215777,0.293238,-35.90
206,0.225657,0.275130,-21.92
207,0.235534,0.254338,-7.98
208,0.245337,0.230892,5.89
209,0.254975,0.205064,19.58
210,0.264372,0.176713,33.16
211,0.273468,0.146140,46.56
212,0.282340,0.113716,59.72
213,0.290768,0.079599,72.62
214,0.298661,0.043970,85.28
215,0.306101,0.007219,97.64
216,0.312938,-0.030478,90.26
217,0.398746,0.010733,97.31
218,0.521872,0.089766,82.80
219,0.597496,0.122068,79.57
220,0.657777,0.140135,78.70
221,0.709246,-0.003133,99.56
222,0.754445,-0.143467,80.98
223,0.794764,-0.236656,70.22
224,0.830911,-0.313175,62.31
225,0.863469,-0.379763,56.02
226,0.892836,-0.439947,50.72
227,0.919218,-0.494274,46.23
228,0.942646,-0.542841,42.41
229,0.963507,-0.585514,39.23
230,0.981761,-0.622766,36.57
231,0.997296,-0.655771,34.25
232,1.010369,-0.683123,32.39
233,1.021067,-0.705667,30.89
234,1.029400,-0.723216,29.74
235,1.035504,-0.736344,28.89
236,1.039218,-0.743879,28.42
237,1.040755,-0.746911,28.23
238,1.040187,-0.745675,28.31
239,1.037561,-0.739226,28.75
240,1.032938,-0.728830,29.44
241,1.026506,-0.713561,30.49
242,1.018099,-0.694464,31.79
243,1.008014,-0.671534,33.38
244,0.996228,-0.644229,35.33
245,0.982897,-0.613359,37.60
246,0.967944,-0.579741,40.11
247,0.951541,-0.542885,42.95
248,0.933941,-0.502800,46.16
249,0.915056,-0.460714,49.65
250,0.895096,-0.416106,53.51
251,0.874216,-0.369088,57.78
252,0.852272,-0.320553,62.39
253,0.829458,-0.270527,67.39
254,0.806088,-0.219356,72.79
255,0.782028,-0.167543,78.58
256,0.757333,-0.115485,84.75
257,0.732132,-0.063082,91.38
258,0.706485,-0.010321,98.54
259,0.680678,0.042101,93.81
260,0.654543,0.093659,85.69
261,0.628276,0.144504,77.00
262,0.601816,0.194135,67.74
263,0.575307,0.242827,57.79
264,0.548793,0.290673,47.03
265,0.522274,0.337091,35.46
266,0.495668,0.382168,22.90
267,0.469066,0.425399,9.31
268,0.442691,0.468342,-5.79
269,0.416295,0.509771,-22.45
270,0.389841,0.552034,-41.60
271,0.363478,0.595352,-63.79
272,0.337076,0.641619,-90.35
273,0.310731,0.695636,-123.87
274,0.284056,0.768980,-170.71
275,0.257239,0.962674,-274.23
276,0.229996,0.920943,-300.42
277,0.202216,0.874970,-332.69
278,0.173547,0.824668,-375.18
279,0.143927,0.770183,-435.12
280,0.112742,0.711191,-530.81
281,0.079651,0.647642,-713.10
282,0.043491,0.578645,-1230.51
283,0.002825,0.503021,-17703.97
284,-0.045246,0.418169,-824.22
285,-0.109064,0.316122,-189.85
286,-0.254472,0.131303,48.40
287,-0.247712,0.097784,60.53
288,-0.240594,0.064109,73.35
289,-0.233152,0.030514,86.91
290,-0.225534,-0.002857,98.73
291,-0.217727,-0.035656,83.62
292,-0.209868,-0.067766,67.71
293,-0.201873,-0.098828,51.04
294,-0.193815,-0.128658,33.62
295,-0.185739,-0.157062,15.44
296,-0.177535,-0.183680,-3.46
297,-0.169439,-0.208591,-23.11
298,-0.161397,-0.231536,-43.46
299,-0.153400,-0.252335,-64.49
300,-0.145423,-0.270871,-86.26
301,-0.137545,-0.287085,-108.72
