Step,TrueNoise,ResidualNoise,ReductionRatio
184,0.024548,0.087905,-258.10
185,0.033307,0.112656,-238.23
186,0.041972,0.137321,-227.17
187,0.050551,0.161439,-219.36
188,0.059085,0.185128,-213.32
189,0.067544,0.207873,-207.76
190,0.076083,0.229418,-201.53
191,0.084634,0.249633,-194.95
192,0.093191,0.268413,-188.03
193,0.101831,0.285206,-180.08
194,0.110489,0.299993,-171.51
195,0.119361,0.312771,-162.04
196,0.128360,0.323097,-151.71
197,0.137564,0.330974,-140.60
198,0.146951,0.336270,-128.83
199,0.156377,0.338617,-116.54
200,0.166064,0.338154,-103.63
201,0.175903,0.334845,-90.36
202,0.185722,0.328382,-76.81
203,0.195668,0.319130,-63.10
204,0.205588,0.306774,-49.22
205,0.215505,0.291494,-35.26
206,0.225536,0.273457,-21.25
207,0.235364,0.252407,-7.24
208,0.245158,0.228713,6.71
209,0.254862,0.202674,20.48
210,0.264227,0.174131,34.10
211,0.273370,0.143598,47.47
212,0.282151,0.111064,60.64
213,0.290567,0.076753,73.59
214,0.298568,0.041053,86.25
215,0.306051,0.004194,98.63
216,0.313010,-0.033509,89.29
217,0.388842,-0.002203,99.43
218,0.518110,0.082903,84.00
219,0.594894,0.116278,80.45
220,0.655726,0.134917,79.42
221,0.707459,-0.018038,97.45
222,0.752898,-0.153364,79.63
223,0.793415,-0.246478,68.93
224,0.829820,-0.322799,61.10
225,0.862591,-0.388623,54.95
226,0.892029,-0.447676,49.81
227,0.918376,-0.499946,45.56
228,0.941934,-0.547387,41.89
229,0.962719,-0.588928,38.83
230,0.980943,-0.626044,36.18
231,0.996608,-0.658481,33.93
232,1.009759,-0.686103,32.05
233,1.020437,-0.707985,30.62
234,1.028704,-0.725673,29.46
235,1.034750,-0.738252,28.65
236,1.038481,-0.745841,28.18
237,1.039952,-0.748416,28.03
238,1.039318,-0.746408,28.18
239,1.036648,-0.739944,28.62
240,1.031949,-0.728889,29.37
241,1.025440,-0.713542,30.42
242,1.017036,-0.694604,31.70
243,1.006894,-0.671547,33.31
244,0.995073,-0.644471,35.23
245,0.981728,-0.613456,37.51
246,0.966748,-0.579813,40.02
247,0.950363,-0.542436,42.92
248,0.932678,-0.502345,46.14
249,0.913835,-0.459976,49.67
250,0.893861,-0.414981,53.57
251,0.872827,-0.368237,57.81
252,0.850897,-0.319566,62.44
253,0.828201,-0.269857,67.42
254,0.804694,-0.218765,72.81
255,0.780476,-0.166997,78.60
256,0.755785,-0.114903,84.80
257,0.730642,-0.062174,91.49
258,0.705118,-0.009648,98.63
259,0.679230,0.042719,93.71
260,0.653066,0.094041,85.60
261,0.626852,0.144844,76.89
262,0.600460,0.194710,67.57
263,0.573970,0.243482,57.58
264,0.547495,0.290931,46.86
265,0.520930,0.336928,35.32
266,0.494332,0.381852,22.75
267,0.467912,0.425309,9.10
268,0.441502,0.467919,-5.98
269,0.415011,0.509864,-22.86
270,0.388666,0.551736,-41.96
271,0.362263,0.594516,-64.11
272,0.335927,0.640868,-90.78
273,0.309389,0.695075,-124.66
274,0.282704,0.770093,-172.40
275,0.255782,0.959917,-275.29
276,0.228497,0.918052,-301.78
277,0.200630,0.871926,-334.59
278,0.171922,0.821523,-377.85
279,0.142171,0.766843,-439.38
280,0.110952,0.707784,-537.92
281,0.077486,0.643813,-730.87
282,0.041123,0.574536,-1297.13
283,0.000011,0.498442,-4673973.08
284,-0.048836,0.412812,-745.30
285,-0.114378,0.309055,-170.20
286,-0.254374,0.129678,49.02
287,-0.247478,0.096326,61.08
288,-0.240389,0.062658,73.93
289,-0.232987,0.029071,87.52
290,-0.225329,-0.004194,98.14
291,-0.217643,-0.037038,82.98
292,-0.209732,-0.069014,67.09
293,-0.201754,-0.099994,50.44
294,-0.193677,-0.129704,33.03
295,-0.185620,-0.158009,14.88
296,-0.177624,-0.184739,-4.01
297,-0.169506,-0.209511,-23.60
298,-0.161529,-0.232423,-43.89
299,-0.153568,-0.253203,-64.88
300,-0.145610,-0.271668,-86.57
301,-0.137752,-0.287822,-108.94
302,-0.130049,-0.301642,-131.94
303,-0.122397,-0.312964,-155.69
304,-0.114821,-0.321807,-180.27
305,-0.107333,-0.328153,-205.73
306,-0.099891,-0.331971,-232.33
307,-0.092560,-0.333394,-260.19
308,-0.085260,-0.332397,-289.86
309,-0.078015,-0.329081,-321.82
310,-0.070838,-0.323551,-356.75
311,-0.063654,-0.315879,-396.25
312,-0.056516,-0.306252,-441.89
313,-0.049374,-0.294761,-497.00
314,-0.042171,-0.281537,-567.61
315,-0.034913,-0.266767,-664.08
316,-0.027673,-0.250677,-805.85
317,-0.020355,-0.233371,-1046.50
318,-0.012893,-0.214984,-1567.42
319,-0.005310,-0.195738,-3586.02
320,0.002419,-0.175794,-7168.46
321,0.010121,-0.155534,-1436.77
322,0.017984,-0.134946,-650.36
323,0.025861,-0.114339,-342.14
324,0.033822,-0.093817,-177.38
325,0.041940,-0.073455,-75.14
326,0.050066,-0.053576,-7.01
327,0.058270,-0.034268,41.19
328,0.066471,-0.015699,76.38
329,0.074790,0.002138,97.14
330,0.082934,0.018843,77.28
331,0.090974,0.034423,62.16
332,0.099053,0.048950,50.58
333,0.107150,0.062353,41.81
334,0.115083,0.074423,35.33
335,0.122790,0.085123,30.68
336,0.130354,0.094528,27.48
337,0.137702,0.102589,25.50
338,0.144734,0.109255,24.51
339,0.151464,0.114587,24.35
340,0.157838,0.118662,24.82
341,0.163826,0.121504,25.83
342,0.169397,0.123182,27.28
343,0.174543,0.123793,29.08
344,0.179180,0.123441,31.11
345,0.183195,0.122095,33.35
346,0.186747,0.120051,35.71
347,0.189557,0.117212,38.17
348,0.191837,0.113951,40.60
349,0.193371,0.110158,43.03
350,0.194328,0.106163,45.37
351,0.194624,0.102028,47.58
352,0.194156,0.097785,49.64
353,0.192814,0.093481,51.52
354,0.319642,0.218252,31.72
355,0.376129,0.273694,27.23
356,0.416467,0.314149,24.57
357,0.448186,0.347221,22.53
358,0.474143,0.375817,20.74
359,0.495582,0.318938,35.64
360,0.513307,0.282859,44.89
361,0.527808,0.263439,50.09
362,0.539586,0.250960,53.49
363,0.548838,0.243962,55.55
364,0.555771,0.239942,56.83
365,0.560539,0.238302,57.49
366,0.563247,0.239299,57.51
367,0.563992,0.242810,56.95
368,0.562980,0.248947,55.78
369,0.560259,0.255939,54.32
370,0.556037,0.265919,52.18
371,0.550099,0.276909,49.66
372,0.542857,0.289483,46.67
373,0.534232,0.303393,43.21
374,0.524369,0.320277,38.92
375,0.513160,0.338853,33.97
376,0.500820,0.358717,28.37
