Step,TrueNoise,ResidualNoise
206,0.84282061,-0.00001089
207,0.84641263,-0.00001314
208,0.84936073,-0.00001517
209,0.85167261,-0.00001385
210,0.85334445,-0.00001620
211,0.85437561,-0.00001902
212,0.85477041,-0.00002361
213,0.85452899,-0.00002968
214,0.85366008,-0.00002907
215,0.85216370,-0.00002565
216,0.85003878,-0.00002266
217,0.84729750,-0.00001677
218,0.84393665,-0.00001592
219,0.83996599,-0.00001134
220,0.83538894,-0.00000958
221,0.83021081,-0.00000719
222,0.82443284,-0.00001113
223,0.81806045,-0.00002204
224,0.81110872,-0.00003105
225,0.80357578,-0.00004308
226,0.79547543,-0.00004878
227,0.78681677,-0.00005232
228,0.77760500,-0.00005253
229,0.76785130,-0.00004936
230,0.75756254,-0.00004854
231,0.74674419,-0.00005257
232,0.73541453,-0.00005440
233,0.72358281,-0.00005391
234,0.71125890,-0.00004765
235,0.69845048,-0.00004352
236,0.68516670,-0.00004534
237,0.67142154,-0.00005127
238,0.65722756,-0.00005808
239,0.64259325,-0.00006579
240,0.62752705,-0.00007873
241,0.61205386,-0.00008577
242,0.59617500,-0.00009580
243,0.57991486,-0.00009288
244,0.56327817,-0.00009379
245,0.54627857,-0.00009374
246,0.52893107,-0.00009850
247,0.51124423,-0.00010994
248,0.49324365,-0.00011468
249,0.47493922,-0.00011674
250,0.45634145,-0.00011558
251,0.43747415,-0.00011011
252,0.41835004,-0.00010254
253,0.39898173,-0.00009199
254,0.37937992,-0.00008947
255,0.35956799,-0.00008743
256,0.33955309,-0.00009301
257,0.31935734,-0.00009363
258,0.29899025,-0.00010034
259,0.27846795,-0.00010694
260,0.25779983,-0.00012375
261,0.23701335,-0.00013478
262,0.21612470,-0.00013817
263,0.19514351,-0.00013387
264,0.17408438,-0.00013132
265,0.15296273,-0.00013608
266,0.13179283,-0.00014655
267,0.11059143,-0.00015850
268,0.08937529,-0.00016918
269,0.06816903,-0.00016674
270,0.04697758,-0.00016221
271,0.02582617,-0.00014722
272,0.00471802,-0.00014456
273,-0.01632301,-0.00014002
274,-0.03727864,-0.00013650
275,-0.05814172,-0.00013306
276,-0.07889927,-0.00013474
277,-0.09953397,-0.00014501
278,-0.12003350,-0.00015977
279,-0.14037884,-0.00017014
280,-0.16055135,-0.00017178
281,-0.18053672,-0.00016236
282,-0.20032932,-0.00015448
283,-0.21991530,-0.00015459
284,-0.23927212,-0.00015673
285,-0.25838587,-0.00015318
286,-0.27724633,-0.00014284
287,-0.29584674,-0.00013939
288,-0.31417174,-0.00014354
289,-0.33220447,-0.00015033
290,-0.34993392,-0.00015299
291,-0.36735281,-0.00015601
292,-0.38445336,-0.00016675
293,-0.40121148,-0.00017307
294,-0.41762617,-0.00018181
295,-0.43368037,-0.00018079
296,-0.44937282,-0.00018858
297,-0.46467959,-0.00018735
298,-0.47959793,-0.00018696
299,-0.49412453,-0.00018801
300,-0.50823957,-0.00018837
301,-0.52193415,-0.00018655
302,-0.53520466,-0.00018087
303,-0.54804257,-0.00017749
304,-0.56044486,-0.00018397
305,-0.57239627,-0.00018962
306,-0.58389268,-0.00019638
307,-0.59492269,-0.00019394
308,-0.60548440,-0.00019140
309,-0.61556514,-0.00018218
310,-0.62517221,-0.00018295
311,-0.63429196,-0.00018372
312,-0.64292187,-0.00019135
313,-0.65105564,-0.00019553
314,-0.65868695,-0.00019573
315,-0.66581233,-0.00019164
316,-0.67243356,-0.00018972
317,-0.67854635,-0.00019149
318,-0.68414884,-0.00019855
319,-0.68923599,-0.00020474
320,-0.69380811,-0.00021043
321,-0.69786983,-0.00022070
322,-0.70140844,-0.00022586
323,-0.70442767,-0.00022940
324,-0.70693303,-0.00023164
325,-0.70891311,-0.00022855
326,-0.71037982,-0.00023137
327,-0.71132299,-0.00022513
328,-0.71175101,-0.00022346
329,-0.71166250,-0.00021764
330,-0.71106927,-0.00022402
331,-0.70996016,-0.00022623
332,-0.70834558,-0.00023251
333,-0.70622161,-0.00022825
334,-0.70359456,-0.00022293
335,-0.70046789,-0.00021427
336,-0.69685274,-0.00021373
337,-0.69275084,-0.00021891
338,-0.68816406,-0.00022689
339,-0.68309777,-0.00023164
340,-0.67756292,-0.00023737
341,-0.67155474,-0.00023567
342,-0.66508885,-0.00023756
343,-0.65816731,-0.00023461
344,-0.65079398,-0.00023064
345,-0.64297883,-0.00022430
346,-0.63472672,-0.00021467
347,-0.62604705,-0.00020702
348,-0.61694872,-0.00020126
349,-0.60744505,-0.00020386
350,-0.59753821,-0.00020793
351,-0.58723736,-0.00021242
352,-0.57655270,-0.00021318
353,-0.56549047,-0.00020965
354,-0.55406604,-0.00020902
355,-0.54228603,-0.00020828
356,-0.53015562,-0.00020472
357,-0.51769782,-0.00020799
358,-0.50491395,-0.00020912
359,-0.49181606,-0.00021419
360,-0.47841276,-0.00021273
361,-0.46472225,-0.00021422
362,-0.45074753,-0.00021197
363,-0.43650385,-0.00021219
364,-0.42200177,-0.00020856
365,-0.40724832,-0.00020138
366,-0.39226683,-0.00020112
367,-0.37706214,-0.00020087
368,-0.36164676,-0.00020555
369,-0.34603008,-0.00020388
370,-0.33021890,-0.00019244
371,-0.31423780,-0.00018376
372,-0.29809781,-0.00018006
373,-0.28181530,-0.00019189
374,-0.26539134,-0.00019935
375,-0.24884982,-0.00021014
376,-0.23219322,-0.00020908
377,-0.21543854,-0.00020847
378,-0.19860196,-0.00020657
379,-0.18169365,-0.00020712
380,-0.16473117,-0.00021438
381,-0.14771525,-0.00021301
382,-0.13066224,-0.00020695
383,-0.11359533,-0.00020245
384,-0.09651251,-0.00019471
385,-0.07943426,-0.00019300
386,-0.06236808,-0.00018199
387,-0.04533034,-0.00017516
388,-0.02832953,-0.00016607
389,-0.01137604,-0.00015556
390,0.00551309,-0.00014581
391,0.02231908,-0.00014587
392,0.03903587,-0.00015279
393,0.05565622,-0.00015882
394,0.07216950,-0.00015265
395,0.08855215,-0.00014934
396,0.10479345,-0.00015407
397,0.12089447,-0.00015854
398,0.13683622,-0.00016090
399,0.15261046,-0.00015295
400,0.16820408,-0.00014859
401,0.18360288,-0.00014879
402,0.19879753,-0.00015393
403,0.21377347,-0.00016683
404,0.22852823,-0.00017515
405,0.24305408,-0.00017556
406,0.25733011,-0.00017570
407,0.27135713,-0.00017037
408,0.28512848,-0.00016300
409,0.29862124,-0.00015911
410,0.31183558,-0.00015502
411,0.32476546,-0.00015421
412,0.33740124,-0.00014692
413,0.34972839,-0.00014285
414,0.36174731,-0.00013742
415,0.37344011,-0.00014178
416,0.38480723,-0.00014262
417,0.39584351,-0.00014258
418,0.40653793,-0.00013868
419,0.41688571,-0.00013252
420,0.42687522,-0.00013335
421,0.43650267,-0.00013745
422,0.44576110,-0.00014663
423,0.45465306,-0.00014760
424,0.46316339,-0.00015017
425,0.47129849,-0.00014252
426,0.47904830,-0.00013615
427,0.48640620,-0.00012886
428,0.49337446,-0.00012153
429,0.49994893,-0.00011365
430,0.50612193,-0.00010600
431,0.51189463,-0.00009842
432,0.51725721,-0.00009964
433,0.52220595,-0.00010789
434,0.52674994,-0.00011312
435,0.53087607,-0.00012156
436,0.53459525,-0.00011617
437,0.53789480,-0.00011718
438,0.54078257,-0.00010973
439,0.54325364,-0.00010705
440,0.54531548,-0.00009505
441,0.54695641,-0.00009025
442,0.54818567,-0.00008263
443,0.54899672,-0.00008468
444,0.54938994,-0.00008960
445,0.54937000,-0.00009784
446,0.54894177,-0.00010160
447,0.54809878,-0.00010590
448,0.54684716,-0.00010875
449,0.54519788,-0.00010591
450,0.54314514,-0.00010027
451,0.54069397,-0.00009120
452,0.53785447,-0.00007956
453,0.53461976,-0.00007315
454,0.53100089,-0.00006429
455,0.52700268,-0.00005785
456,0.52262415,-0.00005303
457,0.51787314,-0.00004962
458,0.51275238,-0.00005142
459,0.50726952,-0.00005168
460,0.50143415,-0.00004711
461,0.49524515,-0.00004298
462,0.48870512,-0.00004388
463,0.48182899,-0.00004557
464,0.47461454,-0.00005331
465,0.46707592,-0.00005379
466,0.45921496,-0.00005726
467,0.45103218,-0.00006561
468,0.44254986,-0.00006777
469,0.43377073,-0.00006665
470,0.42469489,-0.00006325
471,0.41534142,-0.00005567
472,0.40571434,-0.00004987
473,0.39582169,-0.00003966
474,0.38567779,-0.00002552
475,0.37528256,-0.00001636
476,0.36464709,-0.00000900
477,0.35378576,-0.00000317
478,0.34269883,-0.00000187
479,0.33139572,-0.00000377
480,0.31988129,-0.00001783
481,0.30817168,-0.00003143
482,0.29628333,-0.00003463
483,0.28421297,-0.00003498
484,0.27197535,-0.00003128
485,0.25958071,-0.00003254
486,0.24703080,-0.00003919
487,0.23434874,-0.00003907
488,0.22153782,-0.00003985
489,0.20861520,-0.00002742
490,0.19558129,-0.00002069
491,0.18245412,-0.00000974
492,0.16923816,-0.00000675
493,0.15594238,-0.00000650
494,0.14258104,-0.00000887
495,0.12915929,-0.00001494
496,0.11569228,-0.00001697
497,0.10218932,-0.00001816
498,0.08866629,-0.00000954
499,0.07512156,-0.00000572
500,0.06156594,-0.00000723
501,0.04801420,-0.00001600
502,0.03448305,-0.00001619
503,0.02098202,-0.00000384
504,0.00751053,0.00000710
505,-0.00592362,0.00000648
506,-0.01930657,-0.00000618
507,-0.03262711,-0.00001959
508,-0.04587266,-0.00002393
509,-0.05902640,-0.00001204
510,-0.07209285,-0.00000137
511,-0.08506462,0.00000172
512,-0.09792516,-0.00000534
513,-0.11066354,-0.00001030
514,-0.12328162,-0.00001707
515,-0.13575668,-0.00001553
516,-0.14808884,-0.00001864
517,-0.16025796,-0.00000626
518,-0.17226533,0.00000190
519,-0.18410328,0.00000933
520,-0.19576366,0.00000662
521,-0.20723526,0.00000265
522,-0.21851357,-0.00000285
523,-0.22959348,-0.00000983
524,-0.24045849,-0.00001167
525,-0.25110525,-0.00001077
526,-0.26153140,-0.00000855
527,-0.27172196,-0.00000471
528,-0.28167570,-0.00000420
529,-0.29137764,0.00000619
530,-0.30082852,0.00001368
531,-0.31002401,0.00001964
532,-0.31895533,0.00001949
533,-0.32762302,0.00001104
534,-0.33601431,0.00000562
535,-0.34413248,-0.00000660
536,-0.35196717,-0.00001402
537,-0.35951012,-0.00001790
538,-0.36676363,-0.00002005
539,-0.37372596,-0.00002478
540,-0.38038467,-0.00002892
541,-0.38673848,-0.00003129
542,-0.39278758,-0.00003110
543,-0.39851809,-0.00002372
544,-0.40393697,-0.00002019
545,-0.40903977,-0.00001565
546,-0.41381838,-0.00001233
547,-0.41826717,-0.00000210
548,-0.42239584,0.00000456
549,-0.42619821,0.00000777
550,-0.42966972,0.00000554
551,-0.43281648,-0.00000162
552,-0.43563062,-0.00000579
553,-0.43811570,-0.00001374
554,-0.44026101,-0.00000989
555,-0.44207837,-0.00000991
556,-0.44356361,-0.00000751
557,-0.44471383,-0.00000830
558,-0.44554066,-0.00001665
559,-0.44602973,-0.00001756
560,-0.44619231,-0.00002432
561,-0.44602295,-0.00002156
562,-0.44553439,-0.00002964
563,-0.44471250,-0.00002810
564,-0.44356752,-0.00002989
565,-0.44209866,-0.00002306
566,-0.44031494,-0.00002419
567,-0.43821428,-0.00002700
568,-0.43580163,-0.00003467
569,-0.43307551,-0.00003733
570,-0.43003962,-0.00003662
571,-0.42670058,-0.00003436
572,-0.42305888,-0.00003103
573,-0.41911420,-0.00002379
574,-0.41487548,-0.00001560
575,-0.41035092,-0.00001223
576,-0.40554754,-0.00002051
577,-0.40046307,-0.00003169
578,-0.39510497,-0.00004269
579,-0.38946862,-0.00003915
580,-0.38357045,-0.00003584
581,-0.37741399,-0.00003110
582,-0.37100391,-0.00003290
583,-0.36434326,-0.00003351
584,-0.35744599,-0.00003886
585,-0.35030761,-0.00003854
586,-0.34294267,-0.00004378
587,-0.33535092,-0.00004134
588,-0.32754618,-0.00004527
589,-0.31952466,-0.00004114
590,-0.31129774,-0.00003740
591,-0.30287734,-0.00003444
592,-0.29426436,-0.00003290
593,-0.28547397,-0.00004053
594,-0.27650562,-0.00004455
595,-0.26736901,-0.00005002
596,-0.25806732,-0.00004629
597,-0.24862052,-0.00005070
598,-0.23902039,-0.00004726
599,-0.22928866,-0.00005445
600,-0.21942572,-0.00005469
601,-0.20944069,-0.00005979
602,-0.19933384,-0.00005338
603,-0.18912189,-0.00004783
604,-0.17881656,-0.00004677
605,-0.16841780,-0.00004977
606,-0.15794182,-0.00005993
607,-0.14739802,-0.00007232
608,-0.13677854,-0.00007567
609,-0.12610429,-0.00007725
