Step,R,Suppression,EnergyDensity
187,0.011728,0.988340,0.002408
188,0.010844,0.989215,0.002153
189,0.010005,0.990045,0.001920
190,0.009212,0.990830,0.001707
191,0.008463,0.991573,0.001512
192,0.007757,0.992273,0.001336
193,0.007093,0.992933,0.001176
194,0.006469,0.993552,0.001032
195,0.005884,0.994133,0.000902
196,0.005338,0.994676,0.000785
197,0.004828,0.995183,0.000681
198,0.004354,0.995655,0.000589
199,0.003914,0.996094,0.000506
200,0.003506,0.996500,0.000433
201,0.003130,0.996875,0.000369
202,0.002784,0.997220,0.000313
203,0.002466,0.997537,0.000264
204,0.002175,0.997828,0.000222
205,0.001909,0.998092,0.000185
206,0.001668,0.998333,0.000153
207,0.001450,0.998551,0.000126
208,0.001254,0.998747,0.000103
209,0.001078,0.998923,0.000084
210,0.000920,0.999080,0.000068
211,0.000780,0.999220,0.000054
212,0.000657,0.999344,0.000043
213,0.000548,0.999452,0.000034
214,0.000453,0.999547,0.000026
215,0.000371,0.999629,0.000020
216,0.000301,0.999699,0.000015
217,0.000241,0.999759,0.000011
218,0.000190,0.999810,0.000008
219,0.000148,0.999852,0.000006
220,0.000113,0.999887,0.000004
221,0.000085,0.999915,0.000003
222,0.000062,0.999938,0.000002
223,0.000044,0.999956,0.000001
224,0.000031,0.999969,0.000001
225,0.000020,0.999980,0.000001
226,0.000013,0.999987,0.000000
227,0.000008,0.999992,0.000000
228,0.000004,0.999996,0.000000
229,0.000002,0.999998,0.000000
230,0.000001,0.999999,0.000000
231,0.000000,1.000000,0.000000
232,0.000000,1.000000,0.000000
233,0.000000,1.000000,0.000000
234,0.000000,1.000000,0.000000
235,0.000000,1.000000,0.000000
236,0.000000,1.000000,0.000000
237,0.000000,1.000000,0.000000
238,0.000001,0.999999,0.000000
239,0.000001,0.999999,0.000000
240,0.000003,0.999997,0.000000
241,0.000006,0.999994,0.000000
242,0.000010,0.999990,0.000000
243,0.000016,0.999984,0.000000
244,0.000024,0.999976,0.000001
245,0.000036,0.999964,0.000001
246,0.000051,0.999949,0.000002
247,0.000071,0.999929,0.000002
248,0.000096,0.999904,0.000004
249,0.000127,0.999873,0.000005
250,0.000165,0.999835,0.000007
251,0.000211,0.999789,0.000010
252,0.000266,0.999734,0.000013
253,0.000331,0.999670,0.000017
254,0.000406,0.999594,0.000023
255,0.000493,0.999507,0.000029
256,0.000594,0.999406,0.000038
257,0.000709,0.999291,0.000048
258,0.000840,0.999160,0.000060
259,0.000987,0.999013,0.000075
260,0.001153,0.998848,0.000092
261,0.001338,0.998662,0.000113
262,0.001544,0.998457,0.000138
263,0.001773,0.998229,0.000167
264,0.002025,0.997977,0.000201
265,0.002301,0.997701,0.000240
266,0.002605,0.997399,0.000285
267,0.002935,0.997069,0.000338
268,0.003296,0.996710,0.000397
269,0.003686,0.996321,0.000465
270,0.004109,0.995899,0.000542
271,0.004565,0.995445,0.000629
272,0.005056,0.994957,0.000727
273,0.005583,0.994433,0.000837
274,0.006147,0.993872,0.000960
275,0.006750,0.993272,0.001096
276,0.007394,0.992634,0.001248
277,0.008078,0.991954,0.001415
278,0.008805,0.991233,0.001600
279,0.009576,0.990470,0.001804
280,0.010392,0.989662,0.002027
281,0.011254,0.988810,0.002270
282,0.012162,0.987912,0.002536
283,0.013119,0.986967,0.002826
284,0.014124,0.985975,0.003139
285,0.015179,0.984935,0.003479
286,0.016285,0.983847,0.003846
287,0.017442,0.982709,0.004241
288,0.018651,0.981522,0.004665
289,0.019912,0.980285,0.005121
290,0.021227,0.978997,0.005610
291,0.022595,0.977659,0.006130
292,0.024017,0.976269,0.006684
293,0.025492,0.974830,0.007276
294,0.027023,0.973339,0.007901
295,0.028607,0.971798,0.008567
296,0.030246,0.970207,0.009269
297,0.031939,0.968565,0.010012
298,0.033687,0.966874,0.010794
299,0.035488,0.965134,0.011616
300,0.037343,0.963345,0.012481
301,0.039252,0.961509,0.013386
302,0.041213,0.959625,0.014334
303,0.043226,0.957695,0.015325
304,0.045290,0.955720,0.016362
305,0.047406,0.953700,0.017439
306,0.049571,0.951638,0.018557
307,0.051785,0.949533,0.019721
308,0.054046,0.947388,0.020933
309,0.056351,0.945207,0.022177
310,0.058697,0.942993,0.023465
311,0.061078,0.940750,0.024793
312,0.063491,0.938483,0.026148
313,0.065930,0.936197,0.027540
314,0.068389,0.933898,0.028971
315,0.070862,0.931590,0.030416
316,0.073344,0.929281,0.031875
317,0.075826,0.926977,0.033360
318,0.078303,0.924684,0.034849
319,0.080767,0.922409,0.036339
320,0.083209,0.920159,0.037846
321,0.085622,0.917941,0.039329
322,0.087998,0.915763,0.040819
323,0.090327,0.913632,0.042292
324,0.092602,0.911556,0.043710
325,0.094814,0.909542,0.045138
326,0.096954,0.907598,0.046492
327,0.099014,0.905730,0.047817
328,0.100985,0.903947,0.049098
329,0.102858,0.902255,0.050327
330,0.104627,0.900660,0.051476
331,0.104627,0.900660,0.051476
332,0.103188,0.901958,0.050530
333,0.101636,0.903358,0.049515
334,0.099979,0.904857,0.048446
335,0.098223,0.906447,0.047302
336,0.096375,0.908123,0.046126
337,0.094444,0.909878,0.044882
338,0.092437,0.911707,0.043626
339,0.090361,0.913601,0.042289
340,0.088225,0.915555,0.040957
341,0.086037,0.917561,0.039596
342,0.083803,0.919612,0.038217
343,0.081532,0.921703,0.036807
344,0.079232,0.923825,0.035400
345,0.076910,0.925973,0.034016
346,0.074572,0.928140,0.032606
347,0.072227,0.930320,0.031213
348,0.069880,0.932506,0.029844
349,0.067537,0.934693,0.028470
350,0.065206,0.936875,0.027122
351,0.062891,0.939046,0.025811
352,0.060597,0.941203,0.024518
353,0.058329,0.943339,0.023265
354,0.056093,0.945451,0.022033
355,0.053891,0.947535,0.020852
356,0.051728,0.949587,0.019696
357,0.049607,0.951604,0.018575
358,0.047529,0.953583,0.017503
359,0.045495,0.955524,0.016465
360,0.043507,0.957426,0.015463
361,0.041565,0.959287,0.014506
362,0.039669,0.961107,0.013585
363,0.037821,0.962885,0.012706
364,0.036021,0.964620,0.011861
365,0.034270,0.966311,0.011059
366,0.032567,0.967957,0.010290
367,0.030914,0.969559,0.009559
368,0.029311,0.971115,0.008867
369,0.027757,0.972624,0.008209
370,0.026254,0.974088,0.007586
371,0.024800,0.975505,0.006996
372,0.023397,0.976875,0.006442
373,0.022043,0.978198,0.005917
374,0.020739,0.979475,0.005426
375,0.019484,0.980705,0.004965
376,0.018278,0.981888,0.004533
377,0.017121,0.983024,0.004131
378,0.016012,0.984115,0.003755
379,0.014951,0.985160,0.003405
380,0.013937,0.986160,0.003080
381,0.012969,0.987115,0.002780
382,0.012047,0.988025,0.002502
383,0.011169,0.988893,0.002246
384,0.010336,0.989717,0.002011
385,0.009545,0.990500,0.001795
386,0.008797,0.991242,0.001598
387,0.008090,0.991943,0.001418
388,0.007423,0.992605,0.001255
389,0.006794,0.993229,0.001106
390,0.006204,0.993815,0.000972
391,0.005650,0.994366,0.000851
392,0.005132,0.994881,0.000743
393,0.004649,0.995362,0.000646
