Step,R,Suppression,EnergyDensity
818,0.000729,0.999271,0.000049
819,0.000617,0.999383,0.000039
820,0.000518,0.999482,0.000031
821,0.000431,0.999569,0.000025
822,0.000356,0.999644,0.000019
823,0.000291,0.999709,0.000015
824,0.000235,0.999765,0.000011
825,0.000187,0.999813,0.000008
826,0.000147,0.999853,0.000006
827,0.000114,0.999886,0.000004
828,0.000087,0.999913,0.000003
829,0.000064,0.999936,0.000002
830,0.000047,0.999953,0.000002
831,0.000033,0.999967,0.000001
832,0.000023,0.999977,0.000001
833,0.000015,0.999985,0.000000
834,0.000009,0.999991,0.000000
835,0.000005,0.999995,0.000000
836,0.000003,0.999997,0.000000
837,0.000001,0.999999,0.000000
838,0.000001,0.999999,0.000000
839,0.000000,1.000000,0.000000
840,0.000000,1.000000,0.000000
841,0.000000,1.000000,0.000000
842,0.000000,1.000000,0.000000
843,0.000000,1.000000,0.000000
844,0.000000,1.000000,0.000000
845,0.000000,1.000000,0.000000
846,0.000001,0.999999,0.000000
847,0.000001,0.999999,0.000000
848,0.000003,0.999997,0.000000
849,0.000006,0.999994,0.000000
850,0.000009,0.999991,0.000000
851,0.000015,0.999985,0.000000
852,0.000023,0.999977,0.000001
853,0.000033,0.999967,0.000001
854,0.000047,0.999953,0.000002
855,0.000065,0.999935,0.000002
856,0.000087,0.999913,0.000003
857,0.000115,0.999885,0.000004
858,0.000148,0.999852,0.000006
859,0.000188,0.999812,0.000008
860,0.000236,0.999764,0.000011
861,0.000292,0.999708,0.000015
862,0.000358,0.999642,0.000019
863,0.000434,0.999566,0.000025
864,0.000521,0.999479,0.000031
865,0.000620,0.999380,0.000040
866,0.000733,0.999267,0.000050
867,0.000860,0.999140,0.000062
868,0.001002,0.998998,0.000076
869,0.001161,0.998839,0.000093
870,0.001338,0.998663,0.000113
871,0.001534,0.998468,0.000137
872,0.001749,0.998253,0.000164
873,0.001986,0.998016,0.000195
874,0.002244,0.997758,0.000232
875,0.002527,0.997477,0.000274
876,0.002834,0.997170,0.000321
877,0.003166,0.996839,0.000376
878,0.003526,0.996480,0.000437
879,0.003914,0.996094,0.000506
880,0.004331,0.995678,0.000584
881,0.004779,0.995232,0.000671
882,0.005258,0.994755,0.000769
883,0.005770,0.994246,0.000877
884,0.006316,0.993704,0.000997
885,0.006896,0.993127,0.001130
886,0.007513,0.992515,0.001277
887,0.008166,0.991867,0.001437
888,0.008857,0.991182,0.001614
889,0.009587,0.990459,0.001807
890,0.010356,0.989697,0.002017
891,0.011166,0.988896,0.002245
892,0.012016,0.988055,0.002493
893,0.012909,0.987174,0.002761
894,0.013845,0.986251,0.003052
895,0.014823,0.985286,0.003364
896,0.015846,0.984279,0.003699
897,0.016913,0.983230,0.004058
898,0.018024,0.982137,0.004444
899,0.019181,0.981002,0.004856
900,0.020383,0.979823,0.005294
901,0.021631,0.978601,0.005761
902,0.022925,0.977336,0.006258
903,0.024265,0.976027,0.006784
904,0.025651,0.974675,0.007340
905,0.027084,0.973280,0.007929
906,0.028562,0.971842,0.008547
907,0.030086,0.970362,0.009199
908,0.031656,0.968840,0.009886
909,0.033270,0.967277,0.010606
910,0.034930,0.965673,0.011358
911,0.036635,0.964028,0.012148
912,0.038383,0.962344,0.012972
913,0.040174,0.960622,0.013830
914,0.042009,0.958862,0.014723
915,0.043885,0.957064,0.015652
916,0.045802,0.955231,0.016621
917,0.047759,0.953363,0.017619
918,0.049756,0.951462,0.018656
919,0.051791,0.949527,0.019727
920,0.053863,0.947562,0.020829
921,0.055968,0.945570,0.021963
922,0.058103,0.943553,0.023134
923,0.060264,0.941516,0.024341
924,0.062446,0.939464,0.025563
925,0.064646,0.937399,0.026817
926,0.066857,0.935328,0.028077
927,0.069076,0.933256,0.029367
928,0.071295,0.931187,0.030657
929,0.073510,0.929127,0.031966
930,0.075713,0.927082,0.033300
931,0.077899,0.925057,0.034609
932,0.080061,0.923060,0.035925
933,0.082192,0.921095,0.037233
934,0.084285,0.919169,0.038501
935,0.086333,0.917288,0.039771
936,0.088329,0.915459,0.041027
937,0.090266,0.913689,0.042248
938,0.092135,0.911982,0.043409
939,0.093931,0.910345,0.044565
940,0.095647,0.908785,0.045670
941,0.097275,0.907307,0.046692
942,0.098808,0.905916,0.047690
943,0.100242,0.904619,0.048611
944,0.101569,0.903419,0.049477
945,0.102784,0.902322,0.050255
946,0.103881,0.901332,0.050988
947,0.104857,0.900453,0.051620
948,0.104857,0.900453,0.051620
949,0.104051,0.901180,0.051105
950,0.103120,0.902018,0.050486
951,0.102070,0.902966,0.049802
952,0.100904,0.904020,0.049057
953,0.099627,0.905175,0.048230
954,0.098246,0.906426,0.047328
955,0.096764,0.907770,0.046387
956,0.095190,0.909200,0.045368
957,0.093529,0.910712,0.044309
958,0.091787,0.912300,0.043219
959,0.089971,0.913958,0.042063
960,0.088089,0.915680,0.040876
961,0.086146,0.917460,0.039660
962,0.084151,0.919292,0.038431
963,0.082110,0.921171,0.037170
964,0.080029,0.923089,0.035897
965,0.077917,0.925042,0.034623
966,0.075778,0.927022,0.033328
967,0.073621,0.929024,0.032036
968,0.071450,0.931043,0.030752
969,0.069273,0.933072,0.029489
970,0.067095,0.935107,0.028221
971,0.064921,0.937142,0.026971
972,0.062757,0.939172,0.025729
973,0.060607,0.941193,0.024521
974,0.058477,0.943200,0.023351
975,0.056371,0.945189,0.022192
976,0.054292,0.947156,0.021058
977,0.052244,0.949098,0.019971
978,0.050230,0.951011,0.018906
979,0.048253,0.952893,0.017874
980,0.046313,0.954743,0.016878
981,0.044411,0.956561,0.015919
982,0.042549,0.958344,0.014989
983,0.040727,0.960091,0.014097
984,0.038945,0.961803,0.013238
985,0.037206,0.963478,0.012416
986,0.035508,0.965115,0.011625
987,0.033854,0.966713,0.010870
988,0.032242,0.968272,0.010146
989,0.030675,0.969791,0.009455
990,0.029151,0.971270,0.008799
991,0.027672,0.972707,0.008172
992,0.026237,0.974104,0.007578
993,0.024848,0.975459,0.007015
994,0.023503,0.976771,0.006482
995,0.022203,0.978042,0.005979
996,0.020947,0.979271,0.005504
997,0.019737,0.980457,0.005057
998,0.018571,0.981601,0.004638
999,0.017449,0.982703,0.004244
