Step,TrueNoise,ResidualNoise,ReductionRatio
184,0.024312,0.087509,-259.94
185,0.032985,0.112222,-240.22
186,0.041615,0.136780,-228.67
187,0.050137,0.161135,-221.39
188,0.058672,0.184817,-215.00
189,0.067120,0.207535,-209.20
190,0.075575,0.229118,-203.17
191,0.084125,0.249427,-196.50
192,0.092771,0.268320,-189.23
193,0.101354,0.285139,-181.33
194,0.110127,0.300077,-172.48
195,0.119002,0.312960,-162.99
196,0.128031,0.323477,-152.66
197,0.137228,0.331512,-141.58
198,0.146584,0.336800,-129.77
199,0.156103,0.339296,-117.35
200,0.165767,0.338961,-104.48
201,0.175460,0.335485,-91.20
202,0.185326,0.329304,-77.69
203,0.195215,0.319980,-63.91
204,0.205301,0.307742,-49.90
205,0.215314,0.292518,-35.86
206,0.225320,0.274568,-21.86
207,0.235120,0.253680,-7.89
208,0.244958,0.230192,6.03
209,0.254661,0.204217,19.81
210,0.264068,0.175877,33.40
211,0.273281,0.145417,46.79
212,0.282173,0.113021,59.95
213,0.290687,0.079021,72.82
214,0.298644,0.043469,85.44
215,0.306146,0.006688,97.82
216,0.313022,-0.031094,90.07
217,0.391070,0.002364,99.40
218,0.518894,0.086095,83.41
219,0.595498,0.119392,79.95
220,0.656223,0.138009,78.97
221,0.707927,-0.008074,98.86
222,0.753339,-0.146317,80.58
223,0.793744,-0.240080,69.75
224,0.830114,-0.316425,61.88
225,0.862913,-0.382353,55.69
226,0.892445,-0.441601,50.52
227,0.918830,-0.494569,46.17
228,0.942451,-0.542776,42.41
229,0.963244,-0.585582,39.21
230,0.981448,-0.622611,36.56
231,0.997055,-0.655532,34.25
232,1.010228,-0.682579,32.43
233,1.021045,-0.705077,30.95
234,1.029499,-0.722156,29.85
235,1.035555,-0.735141,29.01
236,1.039339,-0.743264,28.49
237,1.041003,-0.746579,28.28
238,1.040428,-0.744941,28.40
239,1.037863,-0.738626,28.83
240,1.033310,-0.727639,29.58
241,1.026787,-0.712616,30.60
242,1.018369,-0.693660,31.89
243,1.008235,-0.670684,33.48
244,0.996444,-0.643260,35.44
245,0.983121,-0.612884,37.66
246,0.968183,-0.578800,40.22
247,0.951880,-0.541833,43.08
248,0.934222,-0.502020,46.26
249,0.915373,-0.459563,49.79
250,0.895442,-0.414707,53.69
251,0.874468,-0.367694,57.95
252,0.852534,-0.319299,62.55
253,0.829734,-0.269265,67.55
254,0.806250,-0.218028,72.96
255,0.782105,-0.166110,78.76
256,0.757442,-0.113621,85.00
257,0.732318,-0.061195,91.64
258,0.706753,-0.008638,98.78
259,0.680885,0.043381,93.63
260,0.654745,0.094839,85.52
261,0.628368,0.145364,76.87
262,0.602030,0.195396,67.54
263,0.575598,0.244171,57.58
264,0.549106,0.291879,46.84
265,0.522484,0.337810,35.35
266,0.496009,0.382616,22.86
267,0.469614,0.426363,9.21
268,0.443235,0.468678,-5.74
269,0.416838,0.510631,-22.50
270,0.390492,0.552824,-41.57
271,0.364129,0.595368,-63.50
272,0.337741,0.642230,-90.15
273,0.311254,0.696951,-123.92
274,0.284614,0.772242,-171.33
275,0.257694,0.963225,-273.79
276,0.230416,0.921392,-299.88
277,0.202552,0.875336,-332.15
278,0.173896,0.825041,-374.45
279,0.144229,0.770503,-434.22
280,0.113092,0.711553,-529.18
281,0.079882,0.647824,-710.98
282,0.043723,0.578762,-1223.69
283,0.003132,0.503187,-15965.47
284,-0.044901,0.418413,-831.86
285,-0.108521,0.316548,-191.69
286,-0.254848,0.130827,48.66
287,-0.248082,0.097327,60.77
288,-0.241065,0.063540,73.64
289,-0.233738,0.029838,87.23
290,-0.226186,-0.003539,98.44
291,-0.218506,-0.036447,83.32
292,-0.210549,-0.068415,67.51
293,-0.202588,-0.099473,50.90
294,-0.194484,-0.129213,33.56
295,-0.186435,-0.157602,15.46
296,-0.178412,-0.184382,-3.35
297,-0.170233,-0.209179,-22.88
298,-0.162177,-0.232080,-43.10
299,-0.154247,-0.252915,-63.97
300,-0.146311,-0.271458,-85.53
301,-0.138571,-0.287809,-107.70
302,-0.130795,-0.301639,-130.62
303,-0.123162,-0.313066,-154.19
304,-0.115714,-0.322111,-178.37
305,-0.108274,-0.328581,-203.47
306,-0.100909,-0.332540,-229.54
307,-0.093495,-0.333934,-257.17
308,-0.086262,-0.333054,-286.10
309,-0.079112,-0.329866,-316.96
310,-0.071845,-0.324311,-351.40
311,-0.064678,-0.316728,-389.70
312,-0.057484,-0.307102,-434.24
313,-0.050267,-0.295603,-488.07
314,-0.043016,-0.282395,-556.48
315,-0.035818,-0.267747,-647.53
316,-0.028578,-0.251728,-780.84
317,-0.021272,-0.234513,-1002.45
318,-0.013792,-0.216192,-1467.50
319,-0.006294,-0.197113,-3031.53
320,0.001318,-0.177372,-13362.03
321,0.009037,-0.157170,-1639.17
322,0.016833,-0.136692,-712.06
323,0.024698,-0.116125,-370.18
324,0.032782,-0.095527,-191.40
325,0.040756,-0.075353,-84.89
326,0.048861,-0.055518,-13.63
327,0.057051,-0.036232,36.49
328,0.065220,-0.017700,72.86
329,0.073490,0.000078,99.89
330,0.081712,0.016857,79.37
331,0.089885,0.032565,63.77
332,0.098045,0.047202,51.86
333,0.106057,0.060543,42.91
334,0.114047,0.072732,36.23
335,0.121736,0.083456,31.45
336,0.129237,0.092875,28.14
337,0.136618,0.101044,26.04
338,0.143717,0.107841,24.96
339,0.150579,0.113396,24.69
340,0.157028,0.117579,25.12
341,0.162999,0.120452,26.10
342,0.168521,0.122132,27.53
343,0.173637,0.122809,29.27
344,0.178363,0.122584,31.27
345,0.182410,0.121319,33.49
346,0.185951,0.119359,35.81
347,0.188904,0.116711,38.22
348,0.191199,0.113471,40.65
349,0.192874,0.109832,43.06
350,0.193753,0.105778,45.41
351,0.194067,0.101695,47.60
352,0.193595,0.097450,49.66
353,0.192433,0.093315,51.51
354,0.301700,0.200497,33.54
355,0.364233,0.261982,28.07
356,0.406972,0.304804,25.10
357,0.440105,0.339261,22.91
358,0.466955,0.368751,21.03
359,0.489098,0.320326,34.51
360,0.507366,0.279927,44.83
361,0.522403,0.261352,49.97
362,0.534478,0.249755,53.27
363,0.544030,0.243064,55.32
364,0.551206,0.238858,56.67
365,0.556130,0.237801,57.24
366,0.559036,0.238937,57.26
367,0.560025,0.242346,56.73
368,0.559168,0.247856,55.67
369,0.556669,0.254778,54.23
370,0.552571,0.264233,52.18
371,0.546876,0.275051,49.70
372,0.539705,0.287472,46.74
373,0.531073,0.301517,43.22
374,0.521206,0.317964,38.99
375,0.510083,0.336315,34.07
376,0.497789,0.356380,28.41
377,0.484359,0.378153,21.93
378,0.469980,0.402298,14.40
379,0.454630,0.430452,5.32
380,0.438290,0.463053,-5.65
381,0.421120,0.502351,-19.29
382,0.402969,0.555625,-37.88
383,0.383997,0.667565,-73.85
384,0.364282,0.660975,-81.45
385,0.343851,0.652029,-89.63
386,0.322547,0.640431,-98.55
387,0.300502,0.626184,-108.38
388,0.277566,0.609057,-119.43
389,0.253773,0.588945,-132.08
390,0.228951,0.565658,-147.07
391,0.202998,0.539056,-165.55
392,0.175636,0.508839,-189.71
393,0.146577,0.474683,-223.85
394,0.115233,0.435976,-278.34
395,0.080794,0.392029,-385.22
396,0.041683,0.341252,-718.69
397,-0.005456,0.280346,-5038.33
398,-0.072179,0.197890,-174.17
399,-0.167044,0.085491,48.82
400,-0.166931,0.066306,60.28
401,-0.166282,0.046104,72.27
402,-0.165088,0.024962,84.88
403,-0.163307,0.003226,98.02
404,-0.161037,-0.019105,88.14
405,-0.158259,-0.041760,73.61
406,-0.155039,-0.064540,58.37
407,-0.151307,-0.087274,42.32
408,-0.147203,-0.109787,25.42
409,-0.142820,-0.131993,7.58
410,-0.138005,-0.153482,-11.21
411,-0.132953,-0.174291,-31.09
412,-0.127530,-0.194040,-52.15
413,-0.122004,-0.212719,-74.35
414,-0.116178,-0.229996,-97.97
415,-0.110214,-0.245814,-123.03
416,-0.104070,-0.259885,-149.72
417,-0.097885,-0.272281,-178.17
418,-0.091678,-0.282840,-208.52
419,-0.085188,-0.291146,-241.77
420,-0.078740,-0.297364,-277.65
421,-0.072317,-0.301464,-316.87
422,-0.065750,-0.303124,-361.02
423,-0.059208,-0.302530,-410.96
424,-0.052750,-0.299619,-468.00
425,-0.046330,-0.294396,-535.43
426,-0.039957,-0.286822,-617.82
427,-0.033569,-0.276936,-724.98
428,-0.027283,-0.264846,-870.73
429,-0.020974,-0.250456,-1094.15
430,-0.014800,-0.234034,-1481.36
431,-0.008699,-0.215674,-2379.41
432,-0.002694,-0.195514,-7157.12
433,0.003235,-0.173678,-5268.76
434,0.009111,-0.150204,-1548.59
435,0.014887,-0.125476,-742.84
436,0.020724,-0.099497,-380.10
437,0.026459,-0.072605,-174.40
438,0.032178,-0.044955,-39.71
439,0.037906,-0.016700,55.94
440,0.043659,0.011862,72.83
441,0.049397,0.040308,18.40
442,0.055055,0.068361,-24.17
443,0.060670,0.095905,-58.08
444,0.066397,0.122712,-84.82
445,0.072049,0.148364,-105.92
446,0.077640,0.172720,-122.46
447,0.083268,0.195582,-134.88
448,0.088830,0.216572,-143.80
449,0.094339,0.235618,-149.76
450,0.099889,0.252477,-152.76
451,0.105373,0.266984,-153.37
452,0.110828,0.279139,-151.87
453,0.116246,0.288655,-148.31
454,0.121544,0.295355,-143.00
455,0.126738,0.299181,-136.06
456,0.131859,0.300365,-127.79
457,0.136910,0.298581,-118.09
458,0.141872,0.294197,-107.37
459,0.146610,0.286800,-95.62
460,0.151087,0.276567,-83.05
461,0.155409,0.263719,-69.69
462,0.159575,0.248434,-55.69
463,0.163528,0.230553,-40.99
464,0.167082,0.210374,-25.91
465,0.170429,0.187908,-10.26
466,0.173467,0.163585,5.70
467,0.268946,0.230146,14.43
468,0.341076,0.272247,20.18
469,0.391256,0.291385,25.53
470,0.432315,0.300685,30.45
471,0.467590,0.303701,35.05
472,0.498853,0.302570,39.35
473,0.527068,0.298385,43.39
474,0.552606,0.292097,47.14
475,0.575792,0.215139,62.64
476,0.597018,0.056707,90.50
477,0.616407,-0.036483,94.08
478,0.633898,-0.113538,82.09
479,0.649822,-0.181235,72.11
480,0.664088,-0.241421,63.65
481,0.676896,-0.295457,56.35
482,0.688245,-0.344212,49.99
483,0.698101,-0.388871,44.30
484,0.706607,-0.429149,39.27
485,0.713804,-0.466082,34.70
486,0.719641,-0.497956,30.80
487,0.724249,-0.526179,27.35
488,0.727634,-0.549228,24.52
489,0.729711,-0.568472,22.10
490,0.730567,-0.583626,20.11
491,0.730367,-0.595033,18.53
492,0.729020,-0.602598,17.34
493,0.726655,-0.605568,16.66
494,0.723201,-0.605039,16.34
495,0.718710,-0.600608,16.43
496,0.713311,-0.592293,16.97
497,0.706960,-0.580491,17.89
498,0.699784,-0.564986,19.26
499,0.691586,-0.546376,21.00
500,0.682806,-0.524672,23.16
501,0.673122,-0.500629,25.63
502,0.662829,-0.473407,28.58
503,0.651871,-0.443873,31.91
504,0.640272,-0.412318,35.60
505,0.628137,-0.378353,39.77
506,0.615467,-0.343176,44.24
507,0.602195,-0.306270,49.14
508,0.588438,-0.268110,54.44
509,0.574279,-0.228754,60.17
510,0.559727,-0.187981,66.42
511,0.544936,-0.146480,73.12
512,0.529740,-0.104348,80.30
513,0.514302,-0.061933,87.96
514,0.498562,-0.019284,96.13
515,0.482642,0.022788,95.28
516,0.466482,0.065331,85.99
517,0.450192,0.106983,76.24
518,0.433635,0.148398,65.78
519,0.416886,0.190075,54.41
520,0.399991,0.231117,42.22
521,0.382837,0.271739,29.02
522,0.365433,0.312879,14.38
523,0.347906,0.355149,-2.08
524,0.330050,0.397823,-20.53
525,0.312037,0.444844,-42.56
526,0.293635,0.498844,-69.89
527,0.274907,0.575441,-109.32
528,0.255884,0.725495,-183.52
529,0.236388,0.699901,-196.08
530,0.216195,0.671042,-210.39
531,0.195238,0.638960,-227.27
532,0.173434,0.603754,-248.12
533,0.150535,0.565324,-275.54
534,0.126144,0.523460,-314.97
535,0.099670,0.477723,-379.30
536,0.070238,0.427443,-508.56
537,0.036331,0.371309,-922.03
538,-0.005696,0.305913,-5270.33
539,-0.070673,0.216610,-206.49
540,-0.136508,0.125697,7.92
541,-0.133176,0.103455,22.32
542,-0.129692,0.081046,37.51
543,-0.126118,0.058661,53.49
544,-0.122386,0.036519,70.16
545,-0.118577,0.014742,87.57
546,-0.114678,-0.006471,94.36
547,-0.110631,-0.026880,75.70
548,-0.106530,-0.046415,56.43
549,-0.102314,-0.064854,36.61
550,-0.098111,-0.082170,16.25
551,-0.093880,-0.098197,-4.60
552,-0.089567,-0.112769,-25.90
553,-0.085232,-0.125868,-47.68
554,-0.080778,-0.137345,-70.03
555,-0.076443,-0.147383,-92.80
556,-0.072011,-0.155714,-116.24
557,-0.067462,-0.162286,-140.56
558,-0.063039,-0.167349,-165.47
559,-0.058515,-0.170701,-191.72
560,-0.054046,-0.172527,-219.22
561,-0.049536,-0.172757,-248.75
562,-0.045110,-0.171569,-280.34
563,-0.040588,-0.168881,-316.09
564,-0.036046,-0.164857,-357.35
565,-0.031368,-0.159472,-408.40
566,-0.026811,-0.153102,-471.03
567,-0.022134,-0.145604,-557.83
568,-0.017448,-0.137223,-686.48
569,-0.012817,-0.128131,-899.73
570,-0.008194,-0.118420,-1345.15
571,-0.003597,-0.108227,-2908.99
572,0.001055,-0.097606,-9150.94
